description,category
Installation of humidifier electrode type 10 kg/hr for AHU,HVAC
Supply and fixing of perforated face diffuser 600x600mm,HVAC
Installation of condenser water pump 15HP vertical inline,HVAC
Providing and fixing pipe insulation 40mm elastomeric for chilled water,HVAC
Installation of split AC outdoor unit bracket MS wall mounted,HVAC
Supply and installation of dehumidifier 50L per day for basement,HVAC
Providing and fixing aluminium weather louver 1200x600mm,HVAC
Installation of automatic tube cleaning system for chiller condenser,HVAC
Supply and fixing of swirl diffuser 300mm for variable air volume,HVAC
Installation of glycol dosing system for low temperature chilled water,HVAC
Providing and fixing drain pan SS for AHU with slope and outlet,HVAC
Installation of roof exhaust fan mushroom type 600mm dia,HVAC
Supply and erection of heat exchanger plate type for heat recovery,HVAC
Providing and fixing flexible refrigerant hose for vibration isolation,HVAC
Installation of room temperature sensor with LCD display,HVAC
Supply and fixing of opposed blade damper 600x400mm manual,HVAC
Installation of PAC unit 3TR floor standing for telecom shelter,HVAC
Providing and fixing chilled water flow switch for pump protection,HVAC
Installation of kitchen exhaust hood SS with grease filter,HVAC
Supply and installation of cassette type VRF indoor unit 2.5HP,HVAC
Supplying and fixing LED high bay light 150W for warehouse,Electrical
Installation of earth pit with bentonite compound and CI cover,Electrical
Providing and laying SWA cable 4 core 10 sqmm for submersible pump,Electrical
Supplying and fixing ceiling mounted LED troffer 2x2 40W,Electrical
Installation of star delta starter for 10HP motor,Electrical
Providing and fixing weatherproof MCB box 4 way IP65,Electrical
Supplying and laying PVC casing capping 25mm for surface wiring,Electrical
Installation of contactor 3 pole 40A for motor control panel,Electrical
Providing and fixing LED wall washer light 18W for facade,Electrical
Supplying and laying earthing strip GI 25x3mm flat in trench,Electrical
Installation of soft starter 25HP for pump motor application,Electrical
Providing and fixing LED pathway light 9W bollard type,Electrical
Supplying and laying multicore cable 12 core 1.5 sqmm for control,Electrical
Installation of current transformer 200/5A for energy metering,Electrical
Providing and fixing LED spot light 7W recessed adjustable,Electrical
Supplying and laying fire alarm cable 1.5 sqmm 2 core shielded,Electrical
Installation of power factor relay 8 step for APFC panel,Electrical
Providing and fixing LED mirror light 12W for bathroom vanity,Electrical
Supplying and laying communication cable Cat6A UTP for network,Electrical
Installation of surge protection device type 2 for DB,Electrical
Providing and fixing LED step light 3W recessed for staircase,Electrical
Supplying and laying speaker cable 1.5 sqmm 2 core for PA system,Electrical
Installation of timer relay for staircase lighting auto off,Electrical
Providing and fixing LED canopy light 30W for entrance porch,Electrical
Supplying and laying CCTV cable RG6 with power for camera,Electrical
Providing and fixing CPVC reducer 25x20mm for pipe size transition,Plumbing
Installation of magnetic water conditioner for scale prevention,Plumbing
Supplying and fixing jet spray chrome plated with hook and hose,Plumbing
Providing and fixing PVC bend 110mm 90 degree for soil pipe,Plumbing
Installation of constant pressure pump system for high rise,Plumbing
Supplying and fixing basin waste 32mm with chain and plug,Plumbing
Providing and fixing CPVC union 20mm for pipe maintenance access,Plumbing
Installation of grease trap 100L SS for commercial kitchen,Plumbing
Supplying and fixing towel shelf 600mm SS for bathroom wall,Plumbing
Providing and fixing PVC Y branch 110mm for drainage connection,Plumbing
Installation of electronic water level controller for tank,Plumbing
Supplying and fixing shower arm 300mm with wall flange CP,Plumbing
Providing and fixing UPVC pipe 50mm for basin waste connection,Plumbing
Installation of dual cartridge water filter for drinking water,HVAC
Supply and fixing of round ceiling diffuser 300mm with damper,HVAC
Installation of duct mounted smoke detector for AHU system,HVAC
Providing and fixing refrigerant sight glass for VRF piping,HVAC
Supply and installation of tower AC 2 ton floor standing,HVAC
Installation of chilled water strainer Y type 80mm for pump,HVAC
Providing and fixing duct transition piece GI rectangular to round,HVAC
Supply and erection of evaporative cooler 5000 CFM industrial,HVAC
Installation of CO2 sensor for demand controlled ventilation,HVAC
Providing and fixing insulated flexible duct 250mm dia 3m length,HVAC
Supply and fixing of door grille aluminium 500x200mm for return air,HVAC
Installation of refrigerant charging R410A for split AC system,HVAC
Providing and fixing condensate tray heater for cold climate operation,HVAC
Supply and installation of portable AC unit 1 ton for temporary use,HVAC
Installation of duct silencer 600x400mm for AHU discharge,HVAC
Providing and fixing air filter panel type G4 washable for AHU,HVAC
Supply and fixing of motorized fire smoke damper 400x400mm,HVAC
Installation of glycol pump 3HP for secondary chilled water loop,HVAC
Supply and erection of urinal with self-closing flush valve complete in all respects,Plumbing
Procurement and installation of water meter 40mm electromagnetic for apartment metering as per specification,Plumbing
Providing CPVC pipe 15mm for bathroom supply complete in all respects,Plumbing
Installation and commissioning of concrete block 200mm hollow for retaining wall,Civil
Installation of car park ventilation induction fan for underground parking including labour and material,Other
Providing and laying anti termite treatment for plinth area as per drawing,Civil
Supplying and fixing chilled water pump split case 20HP,HVAC
Providing and fixing catch pit 300x300mm for storm water as per drawing,PHE
Providing and fixing oil and grease separator 500L for service station as directed by engineer,PHE
Rate for pressure pump 1.5HP for pressure boosting with all fittings,Plumbing
Procurement and installation of digital signage 75 inch for conference room complete in all respects,Other
Procurement and installation of bus bar trunking system 1000A copper as per specification,Electrical
Providing and laying storage water heater 35L with plumbing connections including all accessories,Plumbing
Supplying and laying sewage pump 1.5HP submersible for grey water as per drawing,PHE
Supplying and fixing CCTV camera PTZ with NVR system including labour and material,Other
Supplying and fixing isolator switch 100A 2 pole for motor as per drawing,Electrical
Providing and laying ceiling cassette AC unit 3 ton with wireless controller as per specification,HVAC
Installation and commissioning of fire curtain automatic for staircase as per drawing,Fire
Providing and installing damp proof course with polyethylene sheet membrane as per approved make,Civil
Providing and laying RCC M20 grade concrete for foundation including all accessories,Civil
Installation of chilled water piping 40mm HDPE with insulation as per approved make,HVAC
Providing and laying fire alarm integration with access control with all fittings,Other
Providing and laying mosaic tile flooring for verandah as per IS standards,Civil
Procurement and installation of intercom system IP based for apartment including all accessories,Other
Supplying and fixing solar water heater 4.5KW with safety valve,Plumbing
Supply and fixing of kitchen faucet single lever with spray head,Plumbing
Installation and commissioning of battery bank 100AH gel for emergency lighting with all fittings,Other
Supply and installation of RCCB 63A 2 pole for earth leakage protection with warranty,Electrical
Procurement and installation of structured cabling Cat5e for hotel including labour and material,Other
Providing cable termination and jointing for power cable as per specification,Electrical
Supply and erection of pre-laminated particle board kitchen cabinet with fittings with all fittings,Civil
Providing and installing manhole cover 600x600mm heavy duty ductile iron including labour and material,PHE
Providing and laying water level sensor for collection tank with all fittings,PHE
Installation and commissioning of hand shower 300mm with hose including testing and commissioning,Plumbing
Providing and installing raised access flooring 600x600mm for data center with warranty,Other
Procurement and installation of refrigerant piping 5/8 inch with flaring and testing including labour and material,HVAC
Supplying isolator switch 32A 2 pole for DG set as directed by engineer,Electrical
Installation and commissioning of flexible conduit 32mm with glands as per approved make,Electrical
Providing and installing wall mixer with telephonic shower as per approved make,Plumbing
Procurement and installation of flexible conduit 25mm with clamps including labour and material,Electrical
Supply and erection of sump pump 2HP for utility area including labour and material,PHE
Supplying RCCB 100A 2 pole for earth leakage protection,Electrical
Providing and laying pipe support spring hanger type for steam including testing and commissioning,HVAC
Installation and commissioning of submersible sewage pump 10HP with guide rail as per IS standards,PHE
Providing and laying ceiling mounted return air grille 450x450mm with warranty,HVAC
Supply and erection of non return valve 80mm for storm water including all accessories,PHE
Installation of gypsum board partition 100mm with insulation infill complete in all respects,Civil
Supply and installation of fire hydrant landing valve 80mm single outlet,Fire
Supply and installation of refrigerant leak detector for chiller system including labour and material,HVAC
Supply and erection of fire survival cable 1.5 sqmm 8 core as directed by engineer,Electrical
Supply and fixing of manual call point for fire alarm push button with warranty,Fire
Supplying and laying exhaust air fan axial type 500mm with motor as per IS standards,HVAC
